index;dadosBasicos.numero;principal;dadosBasicos.classeProcessual;descricao_classe;dadosBasicos.orgaoJulgador.codigoOrgao;dadosBasicos.orgaoJulgador.nomeOrgao;DSC_TIP_ORGAO;assuntoLocal;assuntoLocal.descricao;codigoAssunto;assuntoLocalPai;codigoPaiNacional;cod_assunto;descricao_assunto;cod_assunto_classe;ocorrencia_ac;valid_ac;categoria;tribunal;cl_principal
 2300;5,00E+19;TRUE; 1116;Execução Fiscal;12487;2ª VARA FEDERAL DE SOROCABA;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
 2301;4,16E+18;TRUE; 1116;Execução Fiscal;12878;8ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2302;1,10E+16;TRUE;    7;Procedimento Comum Cível;12522;2ª VARA FEDERAL DE ARARAQUARA;7;NA;NA;NA;NA;NA; 6075;Adicional de Tarifa Aeroportuária;6075 7;    4;1;1;3;2
 2303;5,00E+19;TRUE;  202;Agravo de Instrumento;17036;Desembargador Federal JOSE ANTONIO LISBOA NEIVA;3;NA;NA;NA;NA;NA;10064;Saúde;10064 202;    3;0;1;2;2
 2304;8,81E+17;FALSE; 1114;Execução Contra a Fazenda Pública;12951;26? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 6007;Repetição de indébito;6007 1114;  220;1;0;3;2
 2305;1,41E+16;FALSE; 1728;Apelação / Remessa Necessária;67818;Gab. 23 - DESEMBARGADOR FEDERAL NOVÉLY VILANOVA;3;NA;NA;NA;NA;NA; 5950;ITR/ Imposto Territorial Rural;5950 1728;   29;1;0;1;2
 2306;2,27E+16;TRUE; 1116;Execução Fiscal;12129;3ª Juiz de Fora;7;NA;NA;NA;NA;NA; 6092;SIMPLES;6092 1116; 4651;1;0;1;2
 2307;2,81E+15;TRUE; 1116;Execução Fiscal;17730;7ª - Belém;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;1;2
 2308;5,00E+19;FALSE;  283;Ação Penal - Procedimento Ordinário;11970;2ª Vara Federal de Santa Maria;7;NA;NA;NA;NA;NA; 3622;Agrotóxicos;3622 283;   14;1;0;4;268
 2309;5,07E+16;TRUE;12078;Cumprimento de Sentença contra a Fazenda Pública;17684;7ª - Belo Horizonte;7;NA;NA;NA;NA;NA; 6118;Aposentadoria por Tempo de Contribuição (Art. 55/6);6118 12078;  362;1;0;1;2
 2310;1,40E+16;FALSE;  417;Apelação Criminal;21711;GABINETE DA VICE-PRESIDÊNCIA ;3;NA;NA;NA;NA;NA;10619;Inexigibilidade de Conduta Diversa;10619 417;   46;1;0;3;268
 2311;5,02E+19;TRUE;  436;Procedimento do Juizado Especial Cível;12852;6º Juizado Especial Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6101;Auxílio-Doença Previdenciário;6101 436; 5572;1;0;2;2
 2312;5,27E+16;FALSE;  198;Apelação Cível;21701;GAB. 32 - JUIZA CONV. LEILA PAIVA;3;NA;NA;NA;NA;NA; 9047;Efeitos;9047 198;  485;1;0;3;2
 2313;4,42E+16;TRUE;12078;Cumprimento de Sentença contra a Fazenda Pública;12202;5ª Vara Federal;7;NA;NA;NA;NA;NA;10946;Correção Monetária de Diferenças Pagas em Atraso;10946 12078;   76;0;1;5;2
 2314;5,01E+19;TRUE; 1116;Execução Fiscal;12652;9ª Vara Federal de Florianópolis;7;NA;NA;NA;NA;NA;10395;Multas e demais Sanções;10395 1116; 5743;0;1;4;2
 2315;1,07E+16;TRUE; 1116;Execução Fiscal;12284;Vara Federal de Nova Friburgo;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2316;1,24E+18;TRUE;    7;Procedimento Comum Cível;12243;21ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 5986;Crédito Tributário;5986 7;   47;1;0;2;2
 2317;2,03E+18;FALSE;  183;Cautelar Inominada;12464;3? VARA FEDERAL DE SANTOS;7;NA;NA;NA;NA;NA;10161;Juros Progressivos;10161 183;    6;0;1;3;2
 2318;2,29E+17;FALSE;  156;Cumprimento de sentença;16496;6? VARA FEDERAL PREVIDENCI?RIA DE S?O PAULO;7;NA;NA;NA;NA;NA; 6140;Art. 58 ADCT da CF/88;6140 156;    7;1;1;3;2
 2319;2,19E+15;FALSE; 1116;Execução Fiscal;12503;2ª VARA FEDERAL DE SÃO BERNARDO DO CAMPO;7;NA;NA;NA;NA;NA; 6092;SIMPLES;6092 1116; 4651;1;0;3;2
 2320;2,01E+16;FALSE; 1116;Execução Fiscal;12129;3ª Juiz de Fora;7;NA;NA;NA;NA;NA; 6033;Contribuições Sociais;6033 1116;  526;1;0;1;2
 2321;5,01E+19;TRUE;  202;Agravo de Instrumento;44550;GAB. 44 (Des. Federal VIVIAN JOSETE PANTALEÃO CAMINHA);3;NA;NA;NA;NA;NA;10318;Índice da URV Lei 8.880/1994;10318 202;    8;0;1;4;2
 2322;1,56E+16;TRUE;    7;Procedimento Comum Cível;14004;4ª VARA FEDERAL PREVIDENCIÁRIA DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6121;RMI pelo art. 202 CF/88 (média dos 36 últimos salários-de-contribuição);6121 7;  129;1;0;3;2
 2323;1,09E+16;FALSE;  417;Apelação Criminal;21671;GAB. 02 - DES.FED. WILSON ZAUHY;3;NA;NA;NA;NA;NA; 3539;Uso de documento falso;3539 417;  172;1;0;3;268
 2324;5,00E+19;TRUE;  436;Procedimento do Juizado Especial Cível;18242;13º Juizado Especial Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6101;Auxílio-Doença Previdenciário;6101 436; 5572;1;0;2;2
 2325;5,00E+19;TRUE;  460;Recurso Inominado Cível;17784;1ª Turma Recursal do Paraná;7;NA;NA;NA;NA;NA;10945;Expurgos Inflacionários / Planos Econômicos;10945 460; 3697;1;0;4;2
 2326;5,12E+18;TRUE;  436;Procedimento do Juizado Especial Cível;12187;21a. Vara Federal - Fortaleza;1;NA;NA;NA;NA;NA;10338;Gratificações e Adicionais;10338 436;  513;0;1;5;2
 2327;2,78E+16;FALSE;  386;Execução da Pena;12534;1? VARA FEDERAL DE SANTO ANDR?;7;NA;NA;NA;NA;NA; 7942;Execução Penal e de Medidas Alternativas;7942 386; 1496;1;0;3;385
 2328;6,87E+15;FALSE;    7;Procedimento Comum Cível;12480;3ª VARA FEDERAL DE BAURU;7;NA;NA;NA;NA;NA; 6176;Parcelas de benefício não pagas;6176 7;  118;1;0;3;2
 2329;8,91E+16;TRUE;  279;Inquérito Policial;16951;4ª - Palmas;7;NA;NA;NA;NA;NA; 3574;Contrabando ou descaminho;3574 279;  955;1;0;1;268
 2330;3,04E+15;FALSE;  283;Ação Penal - Procedimento Ordinário;12549;1ª VARA FEDERAL DE CORUMBÁ;7;NA;NA;NA;NA;NA; 3618;Crimes contra o Meio Ambiente e o Patrimônio Genético;3618 283;  380;1;0;3;268
 2331;5,01E+18;TRUE; 1116;Execução Fiscal;12877;7ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2332;9,08E+16;FALSE;  183;Cautelar Inominada;12933;7? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 5941;II/ Imposto sobre Importação;5941 183;    4;1;1;3;2
 2333;5,00E+19;TRUE;  436;Procedimento do Juizado Especial Cível;12302;2ª Vara Federal de Petrópolis;7;NA;NA;NA;NA;NA; 6101;Auxílio-Doença Previdenciário;6101 436; 5572;1;0;2;2
 2334;2,19E+16;TRUE;  436;Procedimento do Juizado Especial Cível;12849;1º Juizado Especial Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 9607;Contratos Bancários;9607 436;  636;1;0;2;2
 2335;4,05E+14;FALSE; 1116;Execução Fiscal;53046;3ª RELATORIA DA 3ª TURMA RECURSAL DOS JEF'S/PE;1;NA;NA;NA;NA;NA;10436;Lei de Imprensa;10436 1116; 2054;1;0;5;2
 2336;5,00E+19;TRUE; 1116;Execução Fiscal;12652;9ª Vara Federal de Florianópolis;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
 2337;1,21E+16;TRUE;  460;Recurso Inominado Cível;67919;1ª TR - R1 - Juiz de Fora;7;NA;NA;NA;NA;NA; 6114;Benefício Assistencial (Art. 203,V CF/88);6114 460;  446;1;0;1;2
 2338;2,84E+16;FALSE;    7;Procedimento Comum Cível;12225;4ª VARA FEDERAL;7;NA;Reajustes de Remuneração, Proventos ou Pensão;NA;NA;NA;10219;Servidor Público Civil;10219 7; 4817;0;1;5;2
 2339;1,22E+17;FALSE;    7;Procedimento Comum Cível;12934;8? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 5949;Incidência sobre Ações de Companhias Abertas;5949 7;    9;1;1;3;2
 2340;5,00E+19;TRUE;  460;Recurso Inominado Cível;63846;2ª Turma Recursal - Juiz Relator 3 - ES;7;NA;NA;NA;NA;NA; 6095;Aposentadoria por Invalidez;6095 460;  935;1;0;2;2
 2341;5,08E+18;TRUE;  436;Procedimento do Juizado Especial Cível;16526;28a. Vara Federal;1;NA;NA;NA;NA;NA; 6114;Benefício Assistencial (Art. 203,V CF/88);6114 436; 1608;1;0;5;2
 2342;3,90E+16;TRUE;  436;Procedimento do Juizado Especial Cível;12880;2º Juizado Especial Federal de Volta Redonda;7;NA;NA;NA;NA;NA; 9997;Atos Administrativos;9997 436;    6;0;1;2;2
 2343;5,01E+19;TRUE;  436;Procedimento do Juizado Especial Cível;17794;3ª Vara Federal de Canoas;7;NA;NA;NA;NA;NA; 6119;RMI - Renda Mensal Inicial, Reajustes e Revisões Específicas;6119 436;  142;1;0;4;2
 2344;5,00E+19;TRUE;  355;Carta Precatória Criminal;12005;1ª Vara Federal de Itajaí;7;NA;NA;NA;NA;NA; 7787;Prestação de Serviços à Comunidade;7787 355;   70;1;0;4;268
 2345;9,21E+18;TRUE;    7;Procedimento Comum Cível;12254;18ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA;10156;Poupança;10156 7;  122;0;1;2;2
 2346;5,00E+19;TRUE;  436;Procedimento do Juizado Especial Cível;12609;6ª Vara Federal de Novo Hamburgo;7;NA;NA;NA;NA;NA;11947;Idoso;11947 436;  242;1;0;4;2
 2347;1,47E+17;FALSE; 1710;Mandado de Segurança Criminal;12946;21? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 5937;Retido na fonte;5937 1710;  101;0;1;3;268
 2348;1,88E+17;FALSE; 1710;Mandado de Segurança Criminal;12927;1? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 6039;PIS;6039 1710;  219;0;1;3;268
 2349;2,97E+16;TRUE; 1116;Execução Fiscal;12869;1ª Vara de Execução Fiscal de São Gonçalo;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2350;2,58E+18;TRUE; 1116;Execução Fiscal;17760;10ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2351;5,09E+18;TRUE; 1111;Execução de Título Judicial;16531;14a. Vara Federal;1;NA;NA;NA;NA;NA; 6104;Pensão por Morte (Art. 74/9);6104 1111;  239;1;0;5;2
 2352;2,40E+16;TRUE;  283;Ação Penal - Procedimento Ordinário;15385;14ª Vara Federal;7;NA;NA;NA;NA;NA; 3614;Crimes contra a Ordem Tributária;3614 283; 1280;1;0;5;268
 2353;4,56E+17;FALSE;    7;Procedimento Comum Cível;12932;6? Vara C?vel Federal de S?o Paulo;7;NA;NA;NA;NA;NA; 5974;Aquisição de veículos automotores;5974 7;  627;1;0;3;2
 2354;9,62E+15;FALSE; 1114;Execução Contra a Fazenda Pública;12174;8ª VARA FEDERAL;7;NA;Reajustes de Remuneração, Proventos ou Pensão;NA;NA;NA;10219;Servidor Público Civil;10219 1114;  182;0;1;5;2
 2355;9,63E+15;TRUE; 1116;Execução Fiscal;14013;6ª VARA FEDERAL DE CAMPO GRANDE;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
 2356;5,01E+19;FALSE;  436;Procedimento do Juizado Especial Cível;14021;1ª VARA-GABINETE DO JUIZADO ESPECIAL FED. DE CAMPINAS;1;NA;NA;NA;NA;NA;10159;Atualização de Conta;10159 436;  458;0;1;3;2
 2357;4,18E+18;TRUE; 1116;Execução Fiscal;12871;1ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2358;5,03E+19;FALSE; 1118;Embargos à Execução Fiscal;12672;23ª Vara Federal de Porto Alegre;7;NA;NA;NA;NA;NA; 5933;IRPJ/Imposto de Renda de Pessoa Jurídica;5933 1118;   42;1;0;4;2
 2359;5,04E+19;TRUE;  460;Recurso Inominado Cível;17784;1ª Turma Recursal do Paraná;7;NA;NA;NA;NA;NA;10945;Expurgos Inflacionários / Planos Econômicos;10945 460; 3697;1;0;4;2
 2360;2,71E+18;TRUE;    7;Procedimento Comum Cível;12241;15ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA;  899;DIREITO CIVIL;899 7; 1016;1;0;2;2
 2361;5,01E+19;TRUE;  202;Agravo de Instrumento;21689;GAB. 20 - DES.FED. DIVA MALERBI;3;NA;NA;NA;NA;NA; 6039;PIS;6039 202;   95;1;0;3;2
 2362;5,01E+19;TRUE;  460;Recurso Inominado Cível;17819;3ª Turma Recursal de Santa Catarina;7;NA;NA;NA;NA;NA;10945;Expurgos Inflacionários / Planos Econômicos;10945 460; 3697;1;0;4;2
 2363;9,86E+17;FALSE; 1114;Execução Contra a Fazenda Pública;12947;22? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 6072;FNT/Fundo Nacional de Telecomunicações;6072 1114;  162;1;0;3;2
 2364;5,00E+19;TRUE; 1116;Execução Fiscal;12528;1ª VARA FEDERAL DE BRAGANÇA PAULISTA;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
 2365;5,00E+19;FALSE;  436;Procedimento do Juizado Especial Cível;17818;5ª Vara Federal de Florianópolis;7;NA;NA;NA;NA;NA; 6176;Parcelas de benefício não pagas;6176 436;  138;1;0;4;2
 2366;5,01E+19;TRUE;  460;Recurso Inominado Cível;17784;1ª Turma Recursal do Paraná;7;NA;NA;NA;NA;NA;10155;Cruzados Novos / Bloqueio;10155 460;   37;0;1;4;2
 2367;5,00E+19;TRUE;  120;Mandado de Segurança Cível;12462;3ª VARA FEDERAL DE SÃO JOSÉ DOS CAMPOS;7;NA;NA;NA;NA;NA; 6131;Contribuição sobre vinte salários mínimos;6131 120;    1;1;1;3;2
 2368;5,00E+19;TRUE; 1114;Execução Contra a Fazenda Pública;12656;1ª Vara Federal de Caçador;7;NA;NA;NA;NA;NA; 6037;Salário-Educação;6037 1114;   12;1;0;4;2
 2369;5,31E+16;FALSE; 1116;Execução Fiscal;12007;1ª Vara Federal de Joinville;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
 2370;5,00E+19;TRUE; 1116;Execução Fiscal;14012;3ª VARA FEDERAL DE GUARULHOS;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
 2371;6,58E+16;FALSE; 1116;Execução Fiscal;53038;1ª RELATORIA DA 1ª TURMA RECURSAL DOS JEF'S/PE;1;NA;NA;NA;NA;NA;10436;Lei de Imprensa;10436 1116; 2054;1;0;5;2
 2372;5,00E+19;TRUE; 1116;Execução Fiscal;13740;1ª Vara Federal de Duque de Caxias;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2373;5,04E+18;TRUE; 1111;Execução de Título Judicial;16982;15a. Vara Federal;1;NA;NA;NA;NA;NA; 6176;Parcelas de benefício não pagas;6176 1111;  775;1;0;5;2
 2374;5,00E+19;TRUE; 1116;Execução Fiscal;12688;3ª Vara Federal de Santo Ângelo;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
 2375;8,18E+16;FALSE;  279;Inquérito Policial;12223;2ª VARA FEDERAL;7;NA;Quadrilha ou Bando;NA;NA;NA; 3520;Crimes contra a Paz Pública;3520 279;   10;1;1;5;268
 2376;3,81E+16;TRUE;  279;Inquérito Policial;15385;14ª Vara;7;NA;NA;NA;NA;NA; 3531;Falsificação de documento público;3531 279;  182;1;0;5;268
 2377;2,91E+17;FALSE;    7;Procedimento Comum Cível;12223;2ª VARA FEDERAL;7;NA;Reajustes de Remuneração, Proventos ou Pensão;NA;NA;NA;10219;Servidor Público Civil;10219 7; 4817;0;1;5;2
 2378;5,03E+18;TRUE;  436;Procedimento do Juizado Especial Cível;12185;19a. Vara Federal - Sobral;1;NA;NA;NA;NA;NA; 6098;Rural (Art. 48/51);6098 436; 1569;1;0;5;2
 2379;1,01E+17;FALSE; 1116;Execução Fiscal;17908;33ª Vara Federal;7;NA;NA;NA;NA;NA;10653;Competência da Justiça Federal;10653 1116;  438;1;0;5;2
 2380;2,72E+15;TRUE;12078;Cumprimento de Sentença contra a Fazenda Pública;14057;5ª VARA FEDERAL DE CAMPINAS;7;NA;NA;NA;NA;NA; 5972;Municipais;5972 12078;   17;1;0;3;2
 2381;5,04E+19;TRUE;  198;Apelação Cível;44518;Vice-Presidência;3;NA;NA;NA;NA;NA; 6045;Contribuições para o SEBRAE, SESC, SENAC, SENAI e outros;6045 198;   72;1;0;4;2
 2382;5,35E+18;TRUE; 1116;Execução Fiscal;12877;7ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2383;5,09E+18;TRUE; 1116;Execução Fiscal;17763;12ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2384;5,00E+19;TRUE; 1116;Execução Fiscal;12588;5ª Vara Federal de Joinville;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
 2385;5,01E+19;TRUE;  460;Recurso Inominado Cível;47245;Presidência das TRs do Rio Grande do Sul;7;NA;NA;NA;NA;NA; 6114;Benefício Assistencial (Art. 203,V CF/88);6114 460;  446;1;0;4;2
 2386;8,25E+16;FALSE; 1116;Execução Fiscal;13989;1ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
 2387;5,96E+16;FALSE; 1116;Execução Fiscal;12227;6ª VARA FEDERAL;7;NA;Acidente de Trânsito;NA;NA;NA;10433;Indenização por Dano Moral;10433 1116; 1919;1;0;5;2
 2388;3,11E+15;TRUE;  198;Apelação Cível;21685;GAB. 16 - DES.FED. PAULO FONTES;3;NA;NA;NA;NA;NA;10318;Índice da URV Lei 8.880/1994;10318 198;   33;0;1;3;2
 2389;2,57E+16;FALSE; 1116;Execução Fiscal;13991;3ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6092;SIMPLES;6092 1116; 4651;1;0;3;2
 2390;5,04E+18;TRUE; 1116;Execução Fiscal;12876;6ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2391;3,01E+17;TRUE;  417;Apelação Criminal;63780;Gabinete da Vice-Presidência;3;NA;NA;NA;NA;NA; 3521;Quadrilha ou Bando;3521 417;   93;1;0;2;268
 2392;5,02E+19;TRUE;    7;Procedimento Comum Cível;17812;25ª Vara Federal de Porto Alegre;7;NA;NA;NA;NA;NA; 6118;Aposentadoria por Tempo de Contribuição (Art. 55/6);6118 7; 1614;1;0;4;2
 2393;4,76E+16;TRUE; 1116;Execução Fiscal;12175;9ª Vara Federal;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;5;2
 2394;3,21E+16;TRUE;  283;Ação Penal - Procedimento Ordinário;12421;3ª - Porto Velho;7;NA;NA;NA;NA;NA;    0;NA;0 283;  272;0;1;1;268
 2395;4,51E+17;TRUE; 1728;Apelação / Remessa Necessária;63780;Gabinete da Vice-Presidência;3;NA;NA;NA;NA;NA; 6085;FGTS/Fundo de Garantia Por Tempo de Serviço;6085 1728;   13;1;0;2;2
 2396;3,73E+17;FALSE; 1114;Execução Contra a Fazenda Pública;12933;7? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA;10359;Pensão;10359 1114;   22;0;1;3;2
 2397;2,08E+15;TRUE; 1116;Execução Fiscal;12367;Juazeiro;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;1;2
 2398;6,62E+18;FALSE; 1114;Execução Contra a Fazenda Pública;12946;21? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 5974;Aquisição de veículos automotores;5974 1114;  377;1;0;3;2
 2399;5,00E+19;TRUE;    7;Procedimento Comum Cível;14335;2ª Vara Federal de São Pedro da Aldeia;7;NA;NA;NA;NA;NA; 6118;Aposentadoria por Tempo de Contribuição (Art. 55/6);6118 7; 1614;1;0;2;2
 2400;5,00E+19;FALSE; 1116;Execução Fiscal;18100;1ª VARA FEDERAL DE SÃO VICENTE;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
 2401;5,01E+19;TRUE; 1733;Procedimento Investigatório Criminal (PIC-MP);13866;5ª Vara Federal de Foz do Iguaçu;7;NA;NA;NA;NA;NA; 3574;Contrabando ou descaminho;3574 1733;  701;1;0;4;268
 2402;5,01E+19;FALSE;  355;Carta Precatória Criminal;13866;5ª Vara Federal de Foz do Iguaçu;7;NA;NA;NA;NA;NA; 3572;Desobediência;3572 355;    4;1;1;4;268
 2403;7,00E+15;TRUE; 1116;Execução Fiscal;12280;Vara Federal de Macaé;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2404;2,52E+15;TRUE;  156;Cumprimento de sentença;12124;3ª Uberlândia;7;NA;NA;NA;NA;NA; 9607;Contratos Bancários;9607 156;  185;1;0;1;2
 2405;6,23E+15;FALSE;  305;Liberdade Provisória com ou sem fiança;16525;27ª VARA FEDERAL;7;NA;NA;NA;NA;NA; 3572;Desobediência;3572 305;    2;1;1;5;268
 2406;5,00E+19;TRUE;  436;Procedimento do Juizado Especial Cível;12879;1º Juizado Especial Federal de Volta Redonda;7;NA;NA;NA;NA;NA; 6132;Cálculo do Benefício de acordo com a Sistemática anterior à Lei 9.876/99;6132 436;  108;1;0;2;2
 2407;4,12E+16;FALSE;    7;Procedimento Comum Cível;12940;14? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 6007;Repetição de indébito;6007 7;  205;1;0;3;2
 2408;1,03E+17;FALSE;  231;Impugnação ao Valor da Causa Cível;12620;1ª Vara Federal de Londrina;7;NA;NA;NA;NA;NA;  899;DIREITO CIVIL;899 231;  492;1;0;4;2
 2409;8,07E+16;FALSE;  198;Apelação Cível;67806;Gab. 06 - DESEMBARGADOR FEDERAL JOÃO LUIZ DE SOUSA;3;NA;NA;NA;NA;NA;10292;Adicional de Periculosidade;10292 198;    3;0;1;1;2
 2410;7,09E+16;FALSE;  120;Mandado de Segurança Cível;12641;3ª Vara Federal de Curitiba;7;NA;NA;NA;NA;NA; 5948;IOC/IOF Imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários;5948 120;   28;1;0;4;2
 2411;5,00E+19;TRUE; 1116;Execução Fiscal;12894;2ª Vara de Execução Fiscal de São João de Meriti;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
 2412;4,25E+16;TRUE;  436;Procedimento do Juizado Especial Cível;12853;5º Juizado Especial Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA;10290;Gratificação de Incentivo;10290 436;  314;0;1;2;2
 2413;2,30E+17;FALSE;    7;Procedimento Comum Cível;12225;4ª VARA FEDERAL;7;NA;Regime Estatutário;NA;NA;NA;10219;Servidor Público Civil;10219 7; 4817;0;1;5;2
 2414;9,96E+16;FALSE;  198;Apelação Cível;21711;GABINETE DA VICE-PRESIDÊNCIA ;3;NA;NA;NA;NA;NA; 6179;Conversão;6179 198;  162;1;0;3;2
 2415;5,00E+19;FALSE;  436;Procedimento do Juizado Especial Cível;14021;1ª VARA-GABINETE DO JUIZADO ESPECIAL FED. DE CAMPINAS;1;NA;NA;NA;NA;NA; 6095;Aposentadoria por Invalidez;6095 436; 3121;1;0;3;2
 2416;5,09E+18;TRUE;  436;Procedimento do Juizado Especial Cível;16531;14a. Vara Federal;1;NA;NA;NA;NA;NA; 6095;Aposentadoria por Invalidez;6095 436; 3121;1;0;5;2
 2417;1,78E+14;TRUE; 1116;Execução Fiscal;17593;5ª - Manaus;7;NA;NA;NA;NA;NA; 5957;Federais;5957 1116;  288;1;0;1;2
 2418;3,41E+16;TRUE;  138;Restituição de Coisa ou Dinheiro na Falência do Devedor Empresário;   13;Gab. 06 - DESEMBARGADOR FEDERAL JOÃO LUIZ DE SOUSA;5;NA;NA;NA;NA;NA; 6104;Pensão por Morte (Art. 74/9);6104 138;   11;1;0;1;2
 2419;1,68E+16;FALSE;    7;Procedimento Comum Cível;12456;5? Vara Federal de Ribeir?o Preto;7;NA;NA;NA;NA;NA; 6037;Salário-Educação;6037 7;   18;1;0;3;2
 2420;5,03E+18;TRUE;  436;Procedimento do Juizado Especial Cível;12183;17a. Vara Federal - Juazeiro do Norte;1;NA;NA;NA;NA;NA; 6101;Auxílio-Doença Previdenciário;6101 436; 5572;1;0;5;2
 2421;6,17E+15;FALSE;  279;Inquérito Policial;12365;Jequié;7;NA;NA;NA;NA;NA; 3534;Falso reconhecimento de firma ou letra;3534 279;    3;1;1;1;268
 2422;5,05E+18;TRUE; 1111;Execução de Título Judicial;12194;7a. Vara Federal;1;NA;NA;NA;NA;NA; 6097;Urbana (Art. 48/51);6097 1111;  272;1;0;5;2
 2423;5,04E+16;FALSE; 1116;Execução Fiscal;12219;22ª Vara Federal;7;NA;NA;NA;NA;NA; 5983;CNPJ/Cadastro Nacional de Pessoas Jurídicas;5983 1116;  264;1;0;5;2
 2424;2,09E+15;TRUE;  279;Inquérito Policial;12289;Vara Federal de Teresópolis;7;NA;NA;NA;NA;NA; 3432;Estelionato Majorado;3432 279; 1221;1;0;2;268
 2425;2,91E+17;FALSE;    7;Procedimento Comum Cível;12225;4ª VARA FEDERAL;7;NA;Regime Estatutário;NA;NA;NA;10219;Servidor Público Civil;10219 7; 4817;0;1;5;2
 2426;5,01E+19;FALSE;  202;Agravo de Instrumento;44543;GAB. 31 (Des. Federal ROGERIO FAVRETO);3;NA;NA;NA;NA;NA; 9163;Penhora / Depósito/ Avaliação;9163 202;   77;1;0;4;2
 2427;5,15E+18;FALSE; 1118;Embargos à Execução Fiscal;13993;5? VARA FEDERAL DE EXECU??ES FISCAIS DE S?O PAULO;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1118; 1200;1;0;3;2
